County,Population,Population-growth,Population-density,Income-per-capita,White-not-hispanic-population-percentage,Percent-of-people-25-years-and-over-with-bachelors-degree-or-higher,class
"Nevada, california",98893,0.1,103.1,32346,85.9,32.3,Clinton
"Orange, california",3145515,4.5,3807.7,34057,42.6,36.8,Clinton
"Placer, california",371694,6.7,247.6,34886,74.7,35.1,Trump
"Plumas, california",18606,-7,7.8,29806,84.3,22.6,Trump
"Riverside, california",2329271,6.4,303.8,23591,38,20.5,Clinton
"Sacramento, california",1482026,4.5,1470.8,26739,47.3,28,Clinton
"San Benito, california",58267,5.4,39.8,25914,36.6,18.2,Clinton
"San Bernardino, california",2112619,3.8,101.5,21332,31.4,18.7,Clinton
"San Diego, california",3263431,5.4,735.8,30668,47.2,34.6,Clinton
"San Francisco, california",852469,5.9,17179.1,48486,41.6,52.4,Clinton
"San Joaquin, california",715597,4.4,492.6,22589,34.6,18.1,Clinton
"San Luis Obispo, california",279083,3.5,81.7,29954,69.9,31.5,Clinton
"San Mateo, california",758581,5.6,1602.2,45732,41.1,44.4,Clinton
"Santa Barbara, california",440668,3.9,155,30352,46.5,31.3,Clinton
"Santa Clara, california",1894605,6.3,1381,41513,33.9,46.5,Clinton
"Santa Cruz, california",271804,3.6,589.4,32295,58.6,37,Clinton
"Shasta, california",179804,1.5,46.9,23670,81.4,18.8,Trump
"Sierra, california",3003,-7.3,3.4,24996,86.4,18.5,Trump
"Siskiyou, california",43628,-2.8,7.2,22293,78,23.9,Trump
"Solano, california",431131,4.3,503,28929,40,24.3,Clinton
"Sonoma, california",500292,3.4,307.1,32835,65.1,32.2,Clinton
"Stanislaus, california",531997,3.4,344.2,21663,45.1,16.4,Clinton
"Sutter, california",95847,1.2,157.3,23602,48.6,18.7,Trump
"Tehama, california",63067,-0.6,21.5,20439,70.2,13.5,Trump
"Trinity, california",13170,-4.5,4.3,22905,83,21.3,Trump
"Tulare, california",458198,3.6,91.7,17894,30.9,13.3,Trump
"Tuolumne, california",53831,-2.8,24.9,25943,81.6,19.5,Trump
"Ventura, california",846178,2.8,446.7,32930,47.3,31.4,Clinton
"Yolo, california",207590,3.4,197.9,27730,48.8,37.9,Clinton
"Yuba, california",73966,2.5,114.2,19244,57.1,13.7,Trump
"Adams, colorado",480718,8.8,378.2,24195,52.4,20.9,Clinton
"Alamosa, colorado",16177,4.7,21.4,19487,49.6,24.2,Clinton
"Arapahoe, colorado",618821,8.2,716.7,32595,62.7,38.8,Clinton
"Archuleta, colorado",12244,1.3,8.9,29793,77.5,32.9,Trump
"Baca, colorado",3645,-3.8,1.5,22318,86.5,17.2,Trump
"Bent, colorado",5630,-13.4,4.3,15081,59.1,8.8,Trump
"Boulder, colorado",313333,6.4,405.6,38011,78.6,58.3,Clinton
"Broomfield, colorado",62138,11.2,1691.9,37442,77.7,47.5,Clinton
"Chaffee, colorado",18363,3.1,17.6,27182,85.4,33.9,Trump
"Cheyenne, colorado",1871,1.9,1,23647,85,21.3,Trump
"Clear Creek, colorado",9187,1.1,23,41716,91.1,39.8,Clinton
"Conejos, colorado",8265,0.1,6.4,17316,43.6,19.1,Trump
"Costilla, colorado",3568,1.2,2.9,20742,32,19.5,Clinton
"Crowley, colorado",5360,-8,7.4,17187,57.1,12.3,Trump
"Custer, colorado",4361,2.5,5.8,25761,91.3,32.7,Trump
"Delta, colorado",29870,-3.5,27.1,24771,82.1,18.3,Trump
"Denver, colorado",663862,10.6,3922.6,33251,53.4,42.9,Clinton
"Dolores, colorado",1978,-4.2,1.9,22880,89.6,18.4,Trump
"Douglas, colorado",314638,10.2,339.7,43634,84.3,55.8,Trump
"Eagle, colorado",52921,1.4,31,39497,67.4,47,Clinton
"El Paso, colorado",663519,6.6,292.6,28867,70.8,35.2,Trump
"Elbert, colorado",24195,4.8,12.5,36077,90,29.6,Trump
"Fremont, colorado",46502,-0.7,30.5,18954,79.7,15.6,Trump
"Garfield, colorado",57461,1.9,19.1,26603,68.8,26.6,Trump
"Gilpin, colorado",5851,7.5,36.3,38022,88.8,29.1,Clinton
"Grand, colorado",14546,-2,8,31684,89,32.8,Trump
"Gunnison, colorado",15725,2.6,4.7,27654,87.9,54.5,Clinton
"Hinsdale, colorado",786,-6.8,0.8,36365,92.5,42.2,Trump
"Huerfano, colorado",6462,-3.7,4.2,24058,61.4,28,Trump
"Jackson, colorado",1396,0.1,0.9,25936,86.4,22.2,Trump
"Jefferson, colorado",558503,4.5,699.5,36087,79.1,40.7,Clinton
"Kiowa, colorado",1402,0.3,0.8,22482,92,20.6,Trump
"Kit Carson, colorado",8072,-2.4,3.8,21850,76.6,13.5,Trump
"La Plata, colorado",53989,5.2,30.3,30151,79.6,41.4,Clinton
"Lake, colorado",7357,0.6,19.4,25029,58.7,28.1,Clinton
"Larimer, colorado",324122,8.2,115.4,30740,83.8,43.8,Clinton
"Las Animas, colorado",14052,-9.4,3.2,22180,53,16.3,Trump
"Lincoln, colorado",5510,0.7,2.1,19703,79.3,15.6,Trump
"Logan, colorado",22524,-0.8,12.4,22581,77.4,15.8,Trump
"Mesa, colorado",148255,1,44.1,26700,82.4,25.7,Trump
"Mineral, colorado",698,-2,0.8,42255,93.9,39.3,Trump
"Moffat, colorado",12928,-6.3,2.9,24577,82.6,15.6,Trump
"Montezuma, colorado",25772,0.9,12.6,23548,73.9,27.3,Trump
"Montrose, colorado",40873,-1,18.4,22897,76.6,24.5,Trump
"Morgan, colorado",28328,0.6,22,20680,60.5,15.1,Trump
"Otero, colorado",18488,-1.8,14.9,19078,55.1,15.5,Trump
"Ouray, colorado",4629,4.4,8.2,33015,92.5,47.5,Clinton
"Park, colorado",16345,0.9,7.4,31504,90.5,32,Trump
"Phillips, colorado",4363,-1.8,6.5,20720,77.3,16.8,Trump
"Pitkin, colorado",17626,2.8,17.7,51814,86.5,56.8,Clinton
"Prowers, colorado",12034,-4.1,7.7,18941,61.2,14.1,Trump
"Pueblo, colorado",161875,1.8,66.7,21940,53.1,21.5,Clinton
"Rio Blanco, colorado",6707,0.6,2.1,27586,83.7,23.1,Trump
"Rio Grande, colorado",11607,-3.1,13.1,20557,53.1,20.3,Trump
"Routt, colorado",23865,1.5,10,34873,90.3,48,Clinton
"Saguache, colorado",6196,1.4,1.9,20726,57.2,23.8,Clinton
"San Juan, colorado",720,3,1.8,24711,81.5,24.8,Clinton
"San Miguel, colorado",7840,6.5,5.7,40827,87.4,53.5,Clinton
"Sedgwick, colorado",2348,-1.3,4.3,21536,82.5,15,Trump
"Summit, colorado",29404,5,46,34025,82.6,47.7,Clinton
"Teller, colorado",23389,0.2,41.9,31075,89.8,31.6,Trump
"Washington, colorado",4780,-0.7,1.9,24977,88,18.5,Trump
"Weld, colorado",277670,9.8,63.4,25468,67.3,25.9,Trump
"Yuma, colorado",10202,1.6,4.2,22498,76.9,17.7,Trump
"Fairfield, connecticut",945438,3.1,1467.2,48721,64.6,44.8,Clinton
"Hartford, connecticut",897985,0.4,1216.2,34698,64.2,34.9,Clinton
"Litchfield, connecticut",184993,-2.6,206.3,37667,90.3,33.4,Trump
"Middlesex, connecticut",164943,-0.4,448.6,39992,85.2,39.1,Clinton
"New Haven, connecticut",861277,-0.1,1426.7,32523,65.8,32.9,Clinton
"New London, connecticut",273676,-0.1,412.2,33782,76.8,31.3,Clinton
"Tolland, connecticut",151367,-0.9,372.2,34392,86.6,36.9,Clinton
"Windham, connecticut",116998,-1.2,230.9,27893,84.4,22.3,Trump
"Kent, delaware",171987,5.9,276.9,24851,63.7,21.4,Trump
"New Castle, delaware",552778,2.7,1263.2,32406,60.1,33.8,Clinton
"Sussex, delaware",210849,7,210.6,26908,75.1,22.2,Trump
"Alachua, florida",256380,3.7,282.7,24857,63.2,40.5,Clinton
"Baker, florida",27093,-0.1,46.3,19852,82.1,10,Trump
"Bay, florida",178985,6,222.6,24498,78.2,21.1,Trump
"Bradford, florida",26702,-6.4,97,17749,75,9.2,Trump
"Brevard, florida",556885,2.5,535,27009,76.4,26.3,Trump
"Broward, florida",1869235,6.9,1444.9,28205,40.8,29.9,Clinton
"Calhoun, florida",14532,-0.6,25.8,14675,77.4,7.8,Trump
