County,Population,Population-growth,Population-density,Income-per-capita,White-not-hispanic-population-percentage,Percent-of-people-25-years-and-over-with-bachelors-degree-or-higher,class
"West Baton Rouge Parish, louisiana",25085,5.5,123.6,24838,57.9,18,Trump
"West Carroll Parish, louisiana",11525,-0.7,32.3,17980,79.9,9.5,Trump
"West Feliciana Parish, louisiana",15406,-1.4,38.8,21720,51.8,18.8,Trump
"Winn Parish, louisiana",14743,-3.7,16.1,16789,65.7,11.3,Trump
"Androscoggin, maine",107440,-0.2,230.2,24442,91.6,18.8,Trump
"Aroostook, maine",69447,-3.4,10.8,21566,94.7,16.7,Trump
"Cumberland, maine",287797,2.2,337.2,32880,91.3,41,Clinton
"Franklin, maine",30296,-1.5,18.1,22083,96.1,23.7,Trump
"Hancock, maine",54696,0.5,34.3,27797,95.5,33,Clinton
"Kennebec, maine",121112,-0.9,140.8,25770,95.2,24.6,Trump
"Knox, maine",39676,-0.2,108.8,27865,96,30.4,Clinton
"Lincoln, maine",34170,-0.8,75.6,28070,96.6,33.1,Clinton
"Oxford, maine",57238,-1,27.8,21441,96,18.9,Trump
"Penobscot, maine",153414,-0.3,45.3,23895,94.3,23.8,Trump
"Piscataquis, maine",17026,-2.9,4.4,21818,95.9,16.4,Trump
"Sagadahoc, maine",35045,-0.7,139.1,28829,95,32.3,Clinton
"Somerset, maine",51163,-2,13.3,21513,96.2,15.4,Trump
"Waldo, maine",39051,0.7,53.1,22853,96.2,28.2,Clinton
"Washington, maine",31808,-3.2,12.8,20807,90.5,20,Trump
"York, maine",200710,1.8,199,29125,95,28.8,Clinton
"Allegany, maryland",72952,-2.8,177,21211,87.7,16.8,Trump
"Anne Arundel, maryland",560133,4.2,1295.9,40415,70.9,37.1,Clinton
"Baltimore, maryland",826925,2.7,1345.5,34374,60.5,35.7,Clinton
"Baltimore city, maryland",622793,0.3,7671.5,24750,28.3,26.8,Clinton
"Calvert, maryland",90613,2.1,416.3,38260,79.3,30,Trump
"Caroline, maryland",32538,-1.6,103.5,25211,77.3,15,Trump
"Carroll, maryland",167830,0.4,373.4,36153,90.5,32.7,Trump
"Cecil, maryland",102383,1.3,292,29518,86.5,22.2,Trump
"Charles, maryland",154747,5.6,320.2,37277,45.7,26.7,Clinton
"Dorchester, maryland",32578,-0.1,60.3,26388,65.2,18,Trump
"Frederick, maryland",243675,4.4,353.5,36917,76.5,38.2,Trump
"Garrett, maryland",29679,-1.4,46.5,24932,96.9,18.3,Trump
"Harford, maryland",250105,2.2,560.1,35425,78,32.7,Trump
"Howard, maryland",309284,7.7,1144.9,48172,56.6,60,Clinton
"Kent, maryland",19820,-1.9,72.9,31502,78.5,29.6,Trump
"Montgomery, maryland",1030447,6,1978.2,49038,47,57.1,Clinton
"Prince George's, maryland",904430,4.7,1788.8,32344,14.5,29.8,Clinton
"Queen Anne's, maryland",48804,2.1,128.5,38108,86.9,33.2,Trump
"Somerset, maryland",25859,-2.3,82.8,16748,51,14.2,Trump
"St. Mary's, maryland",110382,5,294.4,36017,75.7,29.5,Trump
"Talbot, maryland",37643,-0.4,140.7,38022,78.6,33.3,Trump
"Washington, maryland",149573,1.5,322.1,26532,81.6,19.5,Trump
"Wicomico, maryland",101539,2.8,263.7,25378,65.4,26.3,Trump
"Worcester, maryland",51675,0.4,109.9,32887,80,27.6,Trump
"Barnstable, massachusetts",214914,-0.5,548.3,36142,91.7,39.1,Clinton
"Berkshire, massachusetts",128715,-1.9,141.6,29294,90,30.3,Clinton
"Bristol, massachusetts",554194,1.1,991.3,28837,85.6,25.3,Clinton
"Dukes, massachusetts",17356,5,160.2,33363,88.8,40.7,Clinton
"Essex, massachusetts",769091,3.5,1508.8,35167,74.2,36.6,Clinton
"Franklin, massachusetts",70862,-0.7,102.1,29259,91.8,34,Clinton
"Hampden, massachusetts",468161,1,751,25817,65.8,24.5,Clinton
"Hampshire, massachusetts",160939,1.8,299.8,29460,85.3,42.3,Clinton
"Middlesex, massachusetts",1570315,4.5,1837.9,42861,75.5,50.7,Clinton
"Nantucket, massachusetts",10856,6.7,226.2,47331,78.4,44,Clinton
"Norfolk, massachusetts",692254,3.2,1693.6,44692,78.7,49.2,Clinton
"Plymouth, massachusetts",507022,2.4,750.9,35220,84.2,33.5,Clinton
"Suffolk, massachusetts",767254,6.3,12415.7,32835,47.5,40.4,Clinton
"Worcester, massachusetts",813475,1.9,528.6,31537,79.6,33.8,Clinton
"Alcona, michigan",10454,-4.5,16.2,22719,96.4,13,Trump
"Alger, michigan",9459,-1.5,10.5,19717,84.9,17.1,Trump
"Allegan, michigan",113847,2.2,135,24140,89,20.2,Trump
"Alpena, michigan",28988,-2.1,51.8,21948,96.1,16,Trump
"Antrim, michigan",23267,-1.3,49.6,24370,95.2,23.8,Trump
"Arenac, michigan",15353,-3.4,43.8,20039,95,11.4,Trump
"Baraga, michigan",8654,-2.3,9.9,17701,73.5,12,Trump
"Barry, michigan",59281,0.2,107,25059,94.9,17.7,Trump
"Bay, michigan",106179,-1.5,243.7,23799,90.7,18.2,Trump
"Benzie, michigan",17519,0,54.8,24831,94.1,24.9,Trump
"Berrien, michigan",155233,-1,276.2,24013,75.6,24.2,Trump
"Branch, michigan",43545,-3.8,89.4,19947,91.4,13.4,Trump
"Calhoun, michigan",134878,-0.9,192.8,22978,79.3,19.5,Trump
"Cass, michigan",51608,-1.3,106.7,22743,87,16.2,Trump
"Charlevoix, michigan",26121,0.7,62.3,26947,94.5,27,Trump
"Cheboygan, michigan",25675,-1.8,36.6,23412,92.3,16.3,Trump
"Chippewa, michigan",38321,-0.9,24.7,20589,70.9,18.5,Trump
"Clare, michigan",30652,-0.9,54.8,18148,95.2,11.1,Trump
"Clinton, michigan",77297,2.5,133.1,28449,90.4,28.2,Trump
"Crawford, michigan",13745,-2.3,25.3,21492,95.6,15.2,Trump
"Delta, michigan",36559,-1.4,31.7,22471,93.7,18.2,Trump
"Dickinson, michigan",25957,-0.8,34.4,24611,95.8,20,Trump
"Eaton, michigan",108579,0.8,187.3,26582,83.9,24.6,Trump
"Emmet, michigan",33204,1.6,69.9,29718,91.6,31.8,Trump
"Genesee, michigan",412895,-3,668.5,22380,72.6,18.9,Clinton
"Gladwin, michigan",25411,-1.1,51.2,20368,96.5,11.8,Trump
"Gogebic, michigan",15737,-4.2,14.9,20330,89.9,18.3,Trump
"Grand Traverse, michigan",90782,4.4,187.3,27660,92.8,30.4,Trump
"Gratiot, michigan",41665,-1.9,74.7,18836,86.9,14,Trump
"Hillsdale, michigan",45830,-1.8,78.1,20379,95.3,15.3,Trump
"Houghton, michigan",36495,-0.4,36.3,19783,93.1,28.9,Trump
"Huron, michigan",32065,-3.2,39.6,22120,95.8,13.7,Trump
"Ingham, michigan",284582,1.3,505.1,24754,71.7,36.5,Clinton
"Ionia, michigan",64294,0.6,111.9,20206,88.4,14,Trump
"Iosco, michigan",25420,-1.8,47.1,22047,94.6,14,Trump
"Iron, michigan",11387,-3.6,10.1,21499,95.3,18.4,Trump
"Isabella, michigan",70616,0.4,122.8,19061,86.5,25.3,Trump
"Jackson, michigan",159741,-0.3,228.4,22613,85.3,18.8,Trump
"Kalamazoo, michigan",258818,3.4,445.7,25757,78.9,34,Clinton
"Kalkaska, michigan",17394,1.4,30.6,20258,95,12.1,Trump
"Kent, michigan",629237,4.4,711.5,25889,75.3,31.7,Trump
"Keweenaw, michigan",2217,2.8,4,24802,97.8,23.9,Trump
"Lake, michigan",11341,-1.7,20.3,16202,85.2,8.4,Trump
"Lapeer, michigan",88153,-0.2,137.4,23907,92.4,17,Trump
"Leelanau, michigan",21915,1,62.5,31462,90.8,39.2,Trump
"Lenawee, michigan",99047,-0.8,133.3,22395,87.3,19.3,Trump
"Livingston, michigan",185596,2.6,320.2,32129,94.9,32.9,Trump
"Luce, michigan",6426,-3.1,7.4,18768,79.3,12.7,Trump
"Mackinac, michigan",11042,-0.6,10.9,22622,74.6,18.5,Trump
"Macomb, michigan",860112,2.3,1754.9,26748,81.6,22.5,Trump
"Manistee, michigan",24420,-1.3,45.6,22702,89.6,19.1,Trump
"Marquette, michigan",67676,0.9,37.1,23789,92.6,29.1,Clinton
"Mason, michigan",28824,0.4,58,23183,92.1,19.8,Trump
"Mecosta, michigan",43186,0.9,77.1,19336,91.6,21.6,Trump
"Menominee, michigan",23714,-1.3,23,22331,93.7,14.4,Trump
"Midland, michigan",83427,-0.2,162,29536,92.2,32.3,Trump
"Missaukee, michigan",15037,1.3,26.3,20305,94.9,13,Trump
"Monroe, michigan",149824,-1.4,276.7,25939,92.1,18,Trump
"Montcalm, michigan",62893,-0.7,89.8,18969,92.1,13.4,Trump
"Montmorency, michigan",9300,-4.8,17.9,19661,96.4,9.9,Trump
"Muskegon, michigan",172344,0.1,344.9,20621,77.1,17.2,Clinton
"Newaygo, michigan",47900,-1.2,59.6,20623,90.7,12.9,Trump
"Oakland, michigan",1237868,3,1385.7,36458,73.7,43.1,Clinton
"Oceana, michigan",26221,-1.3,51.9,18986,82.8,15,Trump
"Ogemaw, michigan",21039,-3,38.5,19634,95.5,11.3,Trump
"Ontonagon, michigan",6172,-9,5.2,21585,95.8,15.3,Trump
"Osceola, michigan",23169,-1.5,41.5,18099,95.1,12.6,Trump
"Oscoda, michigan",8371,-3.1,15.3,18057,96.3,10.4,Trump
"Otsego, michigan",24158,0,46.9,24312,95.1,19.8,Trump
"Ottawa, michigan",276292,4.7,468.2,25371,84.8,30,Trump
"Presque Isle, michigan",13004,-2.8,20.3,22788,96.2,16.3,Trump
"Roscommon, michigan",23955,-2,47.1,23023,95.7,12.9,Trump
"Saginaw, michigan",195012,-2.6,250.2,22349,70.2,19.1,Trump
"Sanilac, michigan",41587,-3.5,44.8,20713,94.2,11.4,Trump
"Schoolcraft, michigan",8171,-3.7,7.2,20892,86.3,12.4,Trump
"Shiawassee, michigan",68933,-2.4,133.1,22713,94.6,14.2,Trump
"St. Clair, michigan",160078,-1.8,226.1,24357,91.8,16.3,Trump
"St. Joseph, michigan",60946,-0.6,122.4,20570,87.5,14.5,Trump
"Tuscola, michigan",54000,-3.1,69.4,20767,93.8,12.7,Trump
"Van Buren, michigan",75199,-1.4,125.5,21732,81.8,17.9,Trump
"Washtenaw, michigan",356874,3.4,488.4,33231,71.4,51.3,Clinton
"Wayne, michigan",1764804,-3.1,2974.4,22308,50,21.3,Clinton
"Wexford, michigan",32886,0.5,57.9,20573,95,16.8,Trump
"Aitkin, minnesota",15771,-2.7,8.9,24939,94.4,14.7,Trump
"Anoka, minnesota",341864,3.3,782.1,30647,84,26.9,Trump
"Becker, minnesota",33259,2.3,24.7,25455,86.8,21.3,Trump
"Beltrami, minnesota",45664,2.7,17.7,21622,73.6,26.9,Trump
"Benton, minnesota",39506,2.7,94.2,24453,92.9,20.3,Trump
"Big Stone, minnesota",5127,-2.7,10.6,26019,97,17.6,Trump
"Blue Earth, minnesota",65385,2.1,85.6,25380,89.9,30.5,Trump
"Brown, minnesota",25292,-2.3,42.4,26576,94.6,20.9,Trump
"Carlton, minnesota",35571,0.5,41.1,24434,88.5,21.3,Clinton
"Carver, minnesota",97338,6.9,256.9,37457,90.1,44.5,Trump
"Cass, minnesota",28559,0,14.1,25287,84.3,19.6,Trump
"Chippewa, minnesota",12110,-2.7,21.4,25993,90.5,17.3,Trump
"Chisago, minnesota",54025,0.3,129.9,27914,94.2,21,Trump
"Clay, minnesota",61286,3.9,56.4,24550,89.9,30.3,Trump
"Clearwater, minnesota",8791,1.1,8.7,22157,85.9,13.3,Trump
"Cook, minnesota",5233,1.1,3.6,32868,86.3,37.4,Clinton
"Cottonwood, minnesota",11633,-0.5,18.3,23456,88,17.2,Trump
"Crow Wing, minnesota",63265,1.2,62.6,26527,95.5,22.5,Trump
"Dakota, minnesota",412529,3.5,709,34828,81.1,38.7,Clinton
"Dodge, minnesota",20353,1.3,45.7,29107,93,23.6,Trump
"Douglas, minnesota",36790,2.2,56.5,27716,96.5,23.6,Trump
"Faribault, minnesota",14192,-2.5,20.4,25065,92.2,16.9,Trump
"Fillmore, minnesota",20776,-0.4,24.2,25249,97.4,18.4,Trump
"Freeborn, minnesota",30840,-1.3,44.2,25668,87.4,14.8,Trump
"Goodhue, minnesota",46423,0.5,61,29932,92.6,22.9,Trump
"Grant, minnesota",5956,-1,11,26665,96.3,18.3,Trump
"Hennepin, minnesota",1212064,5.2,2081.7,37485,70.8,45.8,Clinton
"Houston, minnesota",18738,-1.5,34.5,26450,96.7,22.7,Trump
"Hubbard, minnesota",20573,0.7,22.1,24880,93.5,23.6,Trump
"Isanti, minnesota",38413,1.6,86.8,25482,94.8,16.5,Trump
"Itasca, minnesota",45589,1.2,16.9,24079,92.3,21.4,Trump
"Jackson, minnesota",10269,0,14.6,27361,93.3,17.7,Trump
"Kanabec, minnesota",15930,-1.9,31.1,22291,95.3,13.1,Trump
"Kandiyohi, minnesota",42285,0.1,53,26880,84,20.7,Trump
"Kittson, minnesota",4435,-2.6,4.1,26927,96.2,20.7,Trump
"Koochiching, minnesota",12856,-3.4,4.3,26045,93.6,17.2,Trump
"Lac qui Parle, minnesota",6891,-5.1,9.5,28014,96,17.6,Trump
"Lake, minnesota",10680,-1.7,5.2,27883,96.2,21.5,Clinton
"Lake of the Woods, minnesota",3918,-3.1,3.1,21903,94.6,13.8,Trump
"Le Sueur, minnesota",27770,0.2,61.7,27793,91.9,22.3,Trump
"Lincoln, minnesota",5788,-1.8,11,26767,96.8,18.9,Trump
"Lyon, minnesota",25665,-0.7,36.2,26028,87.1,26.9,Trump
"Mahnomen, minnesota",5505,1.7,9.7,19517,48.5,13.3,Trump
"Marshall, minnesota",9417,-0.2,5.3,26834,93.9,17.5,Trump
"Martin, minnesota",20220,-3,29.3,26472,94.1,18.5,Trump
"McLeod, minnesota",35882,-2.1,74.6,26824,92.4,17.7,Trump
"Meeker, minnesota",23107,-0.8,38.3,25665,95,17.7,Trump
"Mille Lacs, minnesota",25884,-0.8,45.6,22891,89.9,15,Trump
"Morrison, minnesota",32810,-1.2,29.5,23753,96.4,16,Trump
"Mower, minnesota",39323,0.4,55.1,24990,82.3,16.6,Trump
"Murray, minnesota",8470,-2.9,12.4,27450,94.6,16.5,Trump
"Nicollet, minnesota",33093,1.1,73,26674,90.8,32.1,Trump
"Nobles, minnesota",21590,1,29.9,22598,63.4,14.5,Trump
"Norman, minnesota",6639,-3.1,7.9,23707,90.2,14.3,Trump
"Olmsted, minnesota",150287,4.2,220.8,34073,82.2,40.1,Clinton
"Otter Tail, minnesota",57635,0.6,29.1,26400,93.7,22.4,Trump
"Pennington, minnesota",14058,0.9,22.6,24554,91.3,16.1,Trump
"Pine, minnesota",29095,-2.2,21.1,21413,90,13.5,Trump
"Pipestone, minnesota",9281,-3.3,20.6,24137,91.1,16.8,Trump
"Polk, minnesota",31704,0.3,16,25790,89.2,21.9,Trump
"Pope, minnesota",10984,-0.1,16.4,29128,97.1,20.5,Trump
"Ramsey, minnesota",532655,4.7,3341.7,29484,65.1,39.4,Clinton
"Red Lake, minnesota",4043,-1.1,9.5,23257,93,16,Trump
"Redwood, minnesota",15515,-3.4,18.3,25649,87.6,16.4,Trump
"Renville, minnesota",15025,-4.5,16,26062,89.6,14.6,Trump
"Rice, minnesota",65151,1.6,129.4,25370,84.7,27.7,Trump
"Rock, minnesota",9553,-1.4,20.1,24101,94.6,17.9,Trump
"Roseau, minnesota",15679,0.3,9.3,25650,93.3,17.9,Trump
"Scott, minnesota",139672,7.5,364.5,35467,83.5,38,Trump
"Sherburne, minnesota",91126,3,204.4,28071,92.6,25.1,Trump
"Sibley, minnesota",14918,-2,25.9,25789,89.9,14.5,Trump
"St. Louis, minnesota",200949,0.4,32,25946,91.8,26.1,Clinton
"Stearns, minnesota",152912,1.5,112.2,26065,89.7,24.6,Trump
"Steele, minnesota",36573,0,85.1,27259,87.9,24.9,Trump
"Stevens, minnesota",9800,0.8,17.3,28746,90.5,27.5,Trump
"Swift, minnesota",9436,-3.5,13.2,25750,93.4,17,Trump
"Todd, minnesota",24264,-2.5,26.3,22383,92.2,12.6,Trump
"Traverse, minnesota",3387,-4.8,6.2,28030,91.8,15.1,Trump
"Wabasha, minnesota",21362,-1.4,41.4,28282,95.2,20,Trump
"Wadena, minnesota",13757,-0.6,25.8,20329,94.9,13.6,Trump
"Waseca, minnesota",19025,-0.6,45.2,25723,89.4,18.8,Trump
"Washington, minnesota",249283,4.7,619.7,36706,84.6,40.5,Clinton
"Watonwan, minnesota",11083,-1.1,25.8,25635,75.1,15.9,Trump
"Wilkin, minnesota",6495,-1.2,8.8,25148,94.7,16.5,Trump
"Winona, minnesota",51097,-0.7,82.2,23421,92.2,26.8,Trump
"Wright, minnesota",129918,4.2,188.5,29623,93.3,26.5,Trump
"Yellow Medicine, minnesota",10109,-3.2,13.8,25303,90.6,17.4,Trump
"Adams, mississippi",31737,-1.7,69.8,17544,38,17.5,Clinton
"Alcorn, mississippi",37380,0.9,92.6,19145,83.6,17.4,Trump
"Amite, mississippi",12629,-3.8,18,16977,57,11.6,Trump
"Attala, mississippi",19163,-2,26.6,18422,55,16,Trump
"Benton, mississippi",8296,-5,21.5,18597,60,9.9,Trump
"Bolivar, mississippi",33768,-1.1,39,16462,32.3,21.2,Clinton
"Calhoun, mississippi",14745,-1.5,25.5,17034,65.3,9.5,Trump
"Carroll, mississippi",10254,-3.2,16.9,16897,64.5,12.3,Trump
"Chickasaw, mississippi",17313,-0.5,34.7,16677,51.8,10,Trump
"Choctaw, mississippi",8294,-3,20.4,17145,67.1,12.6,Trump
"Claiborne, mississippi",9080,-5.4,19.7,12177,13.6,18.6,Clinton
"Clarke, mississippi",16299,-2.6,24.2,18066,63.4,11.7,Trump
"Clay, mississippi",20225,-2,50.3,18273,39.4,17.9,Clinton
"Coahoma, mississippi",24807,-5.1,47.3,15742,22.6,17.5,Clinton
"Copiah, mississippi",28797,-2.2,37.9,18318,45.3,13.5,Clinton
"Covington, mississippi",19442,-0.7,47.3,17241,61.4,14.2,Trump
"DeSoto, mississippi",170913,6,338.7,25176,68.4,21.6,Trump
"Forrest, mississippi",76330,1.9,160.7,19736,57.6,27,Trump
"Franklin, mississippi",7833,-3.5,14.4,24234,62.7,11.3,Trump
"George, mississippi",23303,3.2,47.2,20217,87.9,10.3,Trump
"Greene, mississippi",14326,-0.5,20.2,14463,70.7,7.8,Trump
"Grenada, mississippi",21666,-1.1,51.9,21084,55.4,14.7,Trump
"Hancock, mississippi",45949,4.4,92.7,22621,85.2,22,Trump
"Harrison, mississippi",199058,6.4,326,22677,65.7,20.7,Trump
"Hinds, mississippi",243729,-0.7,282,20448,26.7,27.4,Clinton
"Holmes, mississippi",18459,-5.2,25.4,12113,15.8,12.7,Clinton
"Humphreys, mississippi",8741,-6.8,22.4,12874,22.3,10.9,Clinton
"Issaquena, mississippi",1397,-0.6,3.4,13731,34.1,5.3,Clinton
"Itawamba, mississippi",23527,0.5,43.9,18106,91,13.5,Trump
"Jackson, mississippi",141137,1.1,193.2,23879,68.8,19.6,Trump
"Jasper, mississippi",16601,-2.7,25.2,18075,46.1,12.9,Clinton
"Jefferson, mississippi",7599,-1.7,14.9,12723,13.8,19.9,Clinton
"Jefferson Davis, mississippi",11822,-5.3,30.6,16216,38.2,14.4,Clinton
"Jones, mississippi",68290,0.8,97.5,19519,65.1,16.8,Trump
"Kemper, mississippi",10163,-2.8,13.6,13795,34.6,10.4,Clinton
"Lafayette, mississippi",52930,11.8,75,21388,70.3,37.2,Trump
"Lamar, mississippi",60099,7.9,112,26345,74.8,33.1,Trump
"Lauderdale, mississippi",79739,-0.7,114.1,21346,53.5,18.9,Trump
"Lawrence, mississippi",12502,-3.3,30,20655,65.6,12.9,Trump
"Leake, mississippi",23193,-2.6,40.8,16780,47.9,10.7,Trump
"Lee, mississippi",85246,2.8,184.3,21799,67.2,21.8,Trump
"Leflore, mississippi",31422,-2.8,54.5,14307,24.1,19,Clinton
"Lincoln, mississippi",34775,-0.3,59.5,19566,67,16.8,Trump
"Lowndes, mississippi",59730,-0.1,118.3,20951,52.7,21.4,Trump
"Madison, mississippi",101688,6.8,133.2,33170,55.7,45.8,Trump
"Marion, mississippi",25868,-4.5,49.9,18126,64.9,13.2,Trump
"Marshall, mississippi",36234,-2.4,52.6,17978,48.3,11.2,Clinton
"Monroe, mississippi",36003,-2.7,48.3,18167,67.3,13.1,Trump
"Montgomery, mississippi",10400,-4.8,26.8,15523,52.5,13.1,Trump
"Neshoba, mississippi",29465,-0.7,52.1,18693,59.2,12.6,Trump
"Newton, mississippi",21832,0.5,37.6,18864,62.3,14.7,Trump
"Noxubee, mississippi",11115,-3.7,16.6,12780,26.4,11.2,Clinton
"Oktibbeha, mississippi",49414,3.7,104,20202,57.4,42.6,Clinton
"Panola, mississippi",34444,-0.7,50.7,18073,47.7,14.3,Trump
"Pearl River, mississippi",55224,-0.9,68.9,20549,81.8,13.2,Trump
"Perry, mississippi",12227,-0.2,18.9,17183,77.6,8.2,Trump
"Pike, mississippi",40058,-0.9,98.8,18183,45,15.8,Trump
"Pontotoc, mississippi",30950,3.3,60.2,18576,77.6,12,Trump
"Prentiss, mississippi",25428,0.6,60.9,16589,83.2,11.4,Trump
"Quitman, mississippi",7678,-6.6,20.3,13954,28.3,13.7,Clinton
"Rankin, mississippi",148070,4.2,182.6,26897,75.4,28.5,Trump
"Scott, mississippi",28461,0.7,46.4,16789,50.6,9.6,Trump
"Sharkey, mississippi",4647,-5.5,11.4,15744,27.4,21.1,Clinton
"Simpson, mississippi",27463,-0.1,46.7,18314,61.6,14.7,Trump
"Smith, mississippi",16188,-1.8,25.9,20334,74.5,13.2,Trump
"Stone, mississippi",17875,0.5,39.9,18576,77,13.6,Trump
"Sunflower, mississippi",27496,-6.6,42.2,12588,25.2,13,Clinton
"Tallahatchie, mississippi",14761,-4,23.8,12747,36.2,8.5,Clinton
"Tate, mississippi",28204,-2.3,71.4,20431,65.1,15.4,Trump
"Tippah, mississippi",22039,-0.9,48.6,18493,77.2,10.3,Trump
"Tishomingo, mississippi",19420,-0.9,46.2,18338,93.3,11.3,Trump
"Tunica, mississippi",10598,-1.7,23.7,15549,21.1,15.4,Clinton
"Union, mississippi",28097,3.5,65.3,19273,79,14.8,Trump
"Walthall, mississippi",14859,-3.8,38.2,16850,53.2,12.6,Trump
"Warren, mississippi",47983,-1.6,82.9,22362,48.5,24.7,Trump
"Washington, mississippi",48958,-4.3,70.6,16671,26.4,18.7,Clinton
"Wayne, mississippi",20490,-1.2,25.6,18928,58.9,10.2,Trump
"Webster, mississippi",9972,-2.7,24.4,18728,77.8,19,Trump
"Wilkinson, mississippi",9191,-7,14.6,18717,28.8,11.8,Clinton
"Winston, mississippi",18478,-3.8,31.6,18501,51.3,15.8,Trump
"Yalobusha, mississippi",12276,-3.2,27.1,18750,59.2,13.2,Trump
"Yazoo, mississippi",27817,-0.9,30.4,14291,36.5,11.9,Clinton
"Adair, missouri",25602,0,45.1,19258,92.2,27.6,Trump
"Andrew, missouri",17379,0.5,40,25302,94.8,22,Trump
"Atchison, missouri",5382,-5.3,10.4,24748,96.8,21.3,Trump
"Audrain, missouri",25887,1.4,36.9,19687,87.9,13.1,Trump
"Barry, missouri",35662,0.2,45.7,19489,87.5,13.3,Trump
"Barton, missouri",12057,-2.8,21,20678,93.3,16.9,Trump
"Bates, missouri",16584,-2.7,20.4,21047,94.9,11.9,Trump
"Benton, missouri",18806,-1.3,27.1,19717,95.7,10.8,Trump
"Bollinger, missouri",12394,0.3,20,19470,96.7,10.9,Trump
"Boone, missouri",172717,6.2,237.3,26895,80.4,47.3,Clinton
"Buchanan, missouri",89486,0.3,218.6,21961,85,20.1,Trump
"Butler, missouri",42972,0.4,61.6,19246,89.4,14.4,Trump
"Caldwell, missouri",9034,-4.1,22.1,21482,95.1,13.5,Trump
"Callaway, missouri",44750,0.9,53.1,23171,90.8,21.1,Trump
"Camden, missouri",44021,0,67.1,23038,94.7,20.8,Trump
"Cape Girardeau, missouri",78043,3.1,130.8,23751,87.1,27.4,Trump
"Carroll, missouri",9043,-2.7,13.4,24073,94.5,15.6,Trump
"Carter, missouri",6258,-0.1,12.3,18245,94.6,13.8,Trump
"Cass, missouri",100889,1.4,142.8,27463,88.9,23.3,Trump
"Cedar, missouri",13952,-0.2,29.5,16362,95.3,14.6,Trump
"Chariton, missouri",7694,-1.7,10.4,19481,95.6,11.7,Trump
"Christian, missouri",82101,6,137.6,25134,93.8,25.9,Trump
"Clark, missouri",6917,-3.1,14.1,20279,97.2,12,Trump
"Clay, missouri",233682,5.3,558.6,29406,83,30.6,Trump
"Clinton, missouri",20299,-2.1,49.5,25100,93.9,17.1,Trump
"Cole, missouri",76557,0.8,193,26160,82.5,30.8,Trump
"Cooper, missouri",17585,-0.1,31.2,22910,88.7,18.4,Trump
"Crawford, missouri",24650,-0.2,33.3,18415,96,13.2,Trump
"Dade, missouri",7628,-3.2,16.1,20034,94.2,13.2,Trump
"Dallas, missouri",16389,-2.3,31,18155,95.2,14.1,Trump
"Daviess, missouri",8297,-1.6,15,19890,96.4,16.4,Trump
"DeKalb, missouri",12692,-1.6,30.6,16635,84.8,9.5,Trump
"Dent, missouri",15655,0,20.8,18544,94.9,11.4,Trump
"Douglas, missouri",13546,-1,16.8,16404,95.9,10.5,Trump
"Dunklin, missouri",31344,-1.9,59.1,17990,81.4,11.4,Trump
"Franklin, missouri",102084,0.6,110,24742,95.5,17.9,Trump
"Gasconade, missouri",14866,-2.3,29.4,21830,96.6,15.4,Trump
"Gentry, missouri",6826,1.3,13.7,20534,97.4,15.3,Trump
"Greene, missouri",285865,3.9,407.5,23520,88.7,28.3,Trump
"Grundy, missouri",10197,-0.6,23.6,19527,95.3,14.9,Trump
"Harrison, missouri",8639,-3.6,12.4,19468,95.8,9.6,Trump
"Henry, missouri",22028,-1.1,32,22394,94.5,14.4,Trump
"Hickory, missouri",9219,-4.2,24.1,17361,95.6,10.4,Trump
"Holt, missouri",4516,-8.1,10.6,24127,96.7,16.2,Trump
"Howard, missouri",10159,0.1,21.9,21598,90.9,22.7,Trump
"Howell, missouri",40173,-0.6,43.6,17416,94.9,15.4,Trump
"Iron, missouri",10267,-3.4,19.3,19101,94.5,11,Trump
"Jackson, missouri",683191,1.3,1115.3,26062,63.1,27.6,Clinton
"Jasper, missouri",117543,0.1,183.9,21124,85.4,20.2,Trump
"Jefferson, missouri",222716,1.8,333.1,24792,95.1,17.4,Trump
"Johnson, missouri",54362,3.4,63.4,21547,86.4,25.6,Trump
"Knox, missouri",4000,-3.2,8.2,20946,96.6,14.8,Trump
"Laclede, missouri",35439,-0.4,46.5,19553,94,12.9,Trump
"Lafayette, missouri",32688,-2.1,53.1,23637,92.4,17,Trump
"Lawrence, missouri",38023,-1.6,63.2,19060,90,15.4,Trump
"Lewis, missouri",10138,-0.7,20.2,19317,92.8,12.5,Trump
"Lincoln, missouri",54249,3.2,83.9,22063,93.6,14.2,Trump
"Linn, missouri",12311,-3.5,20.7,21015,95.8,12.7,Trump
"Livingston, missouri",15053,-0.9,28.5,21011,93.5,17.5,Trump
"Macon, missouri",15479,-0.6,19.4,20054,94,15.3,Trump
"Madison, missouri",12368,1.2,24.7,17316,95.6,7.7,Trump
"Maries, missouri",9013,-1.8,17.4,22026,96.4,16.5,Trump
"Marion, missouri",28920,0.5,65.9,21909,90.5,18.5,Trump
"McDonald, missouri",22800,-1.2,42.8,17505,79.3,10.5,Trump
"Mercer, missouri",3719,-1.7,8.3,20178,96.9,12.9,Trump
"Miller, missouri",25141,1.6,41.8,19385,95.1,14.5,Trump
"Mississippi, missouri",14232,-0.9,34.9,15558,72.3,9.8,Trump
"Moniteau, missouri",15856,1.6,37.6,19451,89.8,18.1,Trump
